name;title;lore;spell.0.id;spell.0.name;spell.0.description;spell.1.id;spell.1.name;spell.1.description;spell.2.id;spell.2.name;spell.2.description;spell.3.id;spell.3.name;spell.3.description;passive.name;passive.description
Aatrox;Épée des Darkin;Autrefois, Aatrox et ses frères étaient honorés pour avoir défendu Shurima contre le Néant. Mais ils finirent par devenir une menace plus grande encore pour Runeterra : la ruse et la sorcellerie furent employées pour les battre. Cependant, après des siècles d'emprisonnement, Aatrox fut le premier à retrouver sa liberté, en corrompant et transformant les mortels assez stupides pour tenter de s'emparer de l'arme magique qui contenait son essence. Désormais en possession d'un corps qu'il a approximativement transformé pour rappeler son ancienne forme, il arpente Runeterra en cherchant à assouvir sa vengeance apocalyptique.;AatroxQ;Épée des Darkin;Aatrox abat son épée devant lui, infligeant des dégâts physiques. Il peut frapper jusqu'à 3 fois et chaque coup a une zone d'effet différente.;AatroxW;Chaînes infernales;Aatrox frappe le sol, blessant le premier ennemi touché. Les champions et les grands monstres doivent vite quitter la zone d'effet sous peine d'être ramenés de force au point d'impact et de subir à nouveau les dégâts.;AatroxE;Ruée obscure;Passivement, Aatrox se soigne quand il blesse des champions ennemis. À l'activation, il se rue dans une direction.;AatroxR;Fossoyeur des mondes;Aatrox libère sa forme démoniaque, effrayant les sbires ennemis proches et augmentant ses dégâts d'attaque, ses soins et sa vitesse de déplacement. La durée est prolongée s'il participe à l'élimination d'un champion ennemi.;Posture du massacreur;Régulièrement, la prochaine attaque de base d'Aatrox inflige des <physicalDamage>dégâts physiques</physicalDamage> supplémentaires et le soigne, selon un pourcentage des PV max de la cible. 
Ahri;Renard à neuf queues;Connectée à la magie du royaume spirituel, Ahri est une mystérieuse Vastaya aux traits de renard qui peut manipuler les émotions de sa proie et consumer son essence, afin de recevoir des fragments de sa mémoire. Ahri fut un temps un terrifiant prédateur, mais elle voyage désormais à la recherche des vestiges de ses ancêtres tout en essayant de remplacer les souvenirs qu'elle a volés par sa propre expérience de l'existence.;AhriQ;Orbe d'illusion;Ahri lance son orbe et le ramène vers elle, infligeant des dégâts magiques à l'aller et des dégâts bruts au retour. ;AhriW;Lucioles;Ahri gagne un bref bonus en vitesse de déplacement et libère trois lucioles qui verrouillent et attaquent les ennemis proches.;AhriE;Charme;Ahri envoie un baiser qui blesse et charme le premier ennemi qu'il touche, interrompant immédiatement ses compétences de déplacement et le faisant marcher docilement vers elle.;AhriR;Assaut spirituel;Ahri se rue vers l'avant et tire des traits spirituels, infligeant des dégâts aux ennemis proches. Assaut spirituel peut être lancé jusqu'à 3 fois avant d'entrer en phase de récupération et Ahri gagne des réactivations en participant à l'élimination de champions ennemis.;Vol essentiel;Après avoir tué 9 sbires ou monstres, Ahri récupère des PV.<br>Après avoir participé à l'élimination d'un champion ennemi, Ahri récupère encore plus de PV.
Akali;Assassin rebelle;Ayant abandonné l'Ordre Kinkou et le titre de Poing de l'ombre, Akali combat aujourd'hui seule, prête à devenir l'arme mortelle dont son peuple a besoin. Bien qu'elle n'oublie rien de tout ce que son maître Shen lui a enseigné, elle a juré de défendre Ionia contre ses ennemis, une élimination après l'autre. Akali tue sans faire de bruit, mais son message est fort et clair : craignez l'assassin sans maître.;AkaliQ;Vague de kunais;Akali lance cinq kunais, infligeant des dégâts selon ses dégâts d'attaque supplémentaires et sa puissance et ralentissant les ennemis.;AkaliW;Linceul nébuleux;Akali crée un nuage de fumée et augmente brièvement sa vitesse de déplacement. Dans ce nuage, Akali est invisible et impossible à cibler. Si elle attaque ou utilise des compétences, elle est temporairement révélée.  ;AkaliE;Lancer acrobatique;Fait un salto arrière et lance un shuriken vers l'avant, infligeant des dégâts magiques. Le premier ennemi ou nuage de fumée touché est marqué. Réactivez la compétence pour vous ruer sur la cible marquée et infliger des dégâts supplémentaires.;AkaliR;Maîtrise absolue;Akali bondit dans une direction, blessant les ennemis qu'elle frappe. Réactivation : Akali se rue dans une direction, exécutant tous les ennemis qu'elle frappe.;Marque d'assassin;Blesser un champion avec une compétence crée un cercle d'énergie autour de lui. Quitter ce cercle renforce la prochaine attaque d'Akali en augmentant sa portée et ses dégâts.
Akshan;Sentinelle rebelle;Se jouant du danger, Akshan combat le mal sans jamais se départir de son charisme (il ne faut jamais sous-estimer l'importance de la cape) et de sa droiture. Il est passé maître dans l'art du combat furtif, ce qui lui permet d'échapper au regard de ses ennemis et de réapparaître lorsqu'ils s'y attendent le moins. À l'aide de son sens aigu de la justice et d'une arme légendaire défiant la mort elle-même, il redresse les torts des nombreux vauriens de Runeterra. Sa règle d'or : « ne sois pas crapuleux. »;AkshanQ;Vengerang;Akshan lance un boomerang qui inflige des dégâts à l'aller et au retour. Sa portée augmente chaque fois qu'il touche un ennemi.;AkshanW;Cavalier seul;Passivement, Akshan applique une marque Crapule sur les champions ennemis quand ils tuent des champions alliés. Si Akshan tue une Crapule, il ressuscite les alliés qu'elle a tués, gagne des PO supplémentaires et dissipe toutes les marques.<br><br>À l'activation, Akshan se camoufle. Il gagne aussi de la vitesse de déplacement et de la régénération du mana quand il se dirige vers des Crapules. Akshan perd rapidement son camouflage quand il est hors des hautes herbes ou loin des éléments de terrain.;AkshanE;Envolée héroïque;Akshan tire un grappin sur un élément de terrain et se balance autour. Pendant ce balancement, il tire à répétition sur l'ennemi le plus proche. Percuter un champion ou un élément de terrain le fait tomber de la corde, mais il peut aussi sauter de la corde prématurément.;AkshanR;Bien mérité !;Akshan se verrouille sur un champion ennemi et commence à stocker des balles. Quand il relâche la compétence, il tire toutes les balles stockées et inflige des dégâts selon les PV manquants du premier champion, sbire ou bâtiment touché.;Fourberie;Tous les trois coups venant de ses attaques ou de ses compétences, Akshan inflige des dégâts supplémentaires. Il gagne aussi un bouclier si la cible est un champion.<br><br>Quand Akshan attaque, il effectue une attaque supplémentaire qui inflige moins de dégâts. S'il annule l'attaque supplémentaire, il gagne à la place de la vitesse de déplacement.
Alistar;Minotaure;Alistar est un guerrier redoutable cherchant à se venger de l'empire noxien qui a détruit son clan. Bien qu'il ait été réduit en esclavage et forcé de vivre une vie de gladiateur, sa volonté de fer lui a permis de ne pas succomber à la folie bestiale qui le menaçait. Maintenant qu'il a retrouvé la liberté, il combat au nom des faibles et des opprimés. Ses seules armes sont ses cornes, ses sabots et ses poings.;Pulverize;Atomisation;Alistar frappe le sol, infligeant des dégâts magiques aux ennemis proches et les projetant dans les airs.;Headbutt;Coup de tête;Alistar charge une cible, lui inflige des dégâts et la fait tomber à la renverse.;AlistarE;Piétinement;Alistar piétine les unités ennemies proches, ignorant les collisions avec les unités et gagnant un effet s'il blesse un champion ennemi. Au maximum d'effets cumulés, la prochaine attaque de base d'Alistar contre un champion ennemi infligera des dégâts magiques supplémentaires et étourdira la cible.;FerociousHowl;Volonté de fer;Alistar lâche un puissant rugissement, dissipant tous les effets de contrôle de foule qui l'affectent et réduisant les dégâts physiques et magiques subis pendant la durée d'effet.;Cri triomphant;Alistar charge son cri en étourdissant ou en déplaçant des champions ennemis ou quand des ennemis proches meurent. Quand le cri est pleinement chargé, Alistar se soigne et soigne tous les champions alliés proches.
Ambessa;Matriarche de guerre;Tous ceux qui connaissent le nom de Medarda savent qu'il faut craindre et respecter sa matriarche, Ambessa. En tant que générale noxienne, elle incarne la force impitoyable et la détermination sans peur. Son rôle de matriarche n'est pas bien différent. Elle se doit de faire preuve d'une grande ruse tout en ne laissant aucune place à l'échec ou à la compassion. Dédiée à la voie du Loup, Ambessa fera tout ce qui est en son pouvoir pour protéger l'héritage de sa famille, même si cela doit lui coûter l'amour de ses enfants.;AmbessaQ;Frappe fourbe / Frappe fracassante;Ambessa fait tourner ses doubles chiens-dragons en demi-cercle devant elle, infligeant des dégâts bonus aux ennemis touchés par les lames. Si elle touche un ennemi, elle transforme le prochain lancement de cette compétence pendant une courte période, ce qui lui permet de projeter ses doubles chiens-dragons en ligne droite devant elle, infligeant des dégâts bonus au premier ennemi touché.;AmbessaW;Égide dévastatrice;Ambessa gagne un bouclier, se protège brièvement puis frappe le sol pour infliger des dégâts aux ennemis proches. Pendant qu'elle se protège, si elle bloque les dégâts d'unités autres qu'un sbire, cette compétence inflige des dégâts bonus.;AmbessaE;Lacération;Ambessa fait tourner ses doubles chiens-dragons autour d'elle, blessant et ralentissant les ennemis proches. Utiliser Ruée des chiens-dragons à partir de cette compétence déclenche une frappe supplémentaire à la fin de la ruée.;AmbessaR;Exécution publique;Ambessa se téléporte sur l'ennemi le plus éloigné sur une ligne droite de son choix, ce qui le neutralise à son arrivée. Elle le projette ensuite au sol pour lui infliger des dégâts et l'étourdir.;Ruée des chiens-dragons;Déclencher un déplacement ou une attaque lorsqu'elle lance une compétence permet à Ambessa de se ruer sur une courte distance une fois la compétence lancée. Cela octroie à sa prochaine attaque de la portée bonus, des dégâts bonus, de la vitesse d'attaque bonus, et lui rend de l'énergie.
Amumu;Momie mélancolique;La légende veut qu'Amumu soit une âme solitaire et mélancolique de la Shurima antique et qu'il parcoure le monde à la recherche d'un ami. Condamné par une malédiction à rester seul à jamais, il provoque la mort et la ruine à chaque geste d'affection. Ceux qui prétendent l'avoir vu le décrivent comme un cadavre vivant, petit de taille, enveloppé dans d'effrayants bandages. Il a inspiré bien des mythes, des chansons et des légendes, transmis de génération en génération pendant si longtemps qu'il est désormais impossible de démêler le vrai du faux.;BandageToss;Jet de bandelette;Amumu jette une bandelette collante qui étourdit et blesse l'ennemi touché tandis qu'Amumu s'approche de lui.;AuraofDespair;Désespoir;Saisis par l'angoisse, les ennemis proches perdent chaque seconde un pourcentage de leurs PV max et leurs <font color='#9b0f5f'>Malédictions</font> sont actualisées.;Tantrum;Colère;Les dégâts physiques subis par Amumu sont réduits. Amumu peut libérer sa rage pour infliger des dégâts aux ennemis proches. Chaque fois qu'Amumu est touché, le délai de récupération de Colère est réduit.;CurseoftheSadMummy;Malédiction d'Amumu;Amumu emmêle les ennemis proches dans des bandelettes, appliquant sa <keywordMajor>Malédiction</keywordMajor>, leur infligeant des dégâts et les étourdissant.;Toucher maudit;Les attaques de base d'Amumu <font color='#9b0f5f'>maudissent</font> ses ennemis, leur faisant subir des dégâts bruts supplémentaires chaque fois qu'ils subissent des dégâts magiques.
Anivia;Cryophénix;Anivia est un esprit ailé bienveillant qui subit des cycles sans fin de vie, de mort et de renaissance pour protéger Freljord. Demi-déesse née de la glace la plus froide et des vents les plus coupants, elle utilise ses pouvoirs élémentaires contre quiconque prétend troubler la paix de sa terre natale. Anivia guide et protège les tribus du Nord, qui la vénèrent comme un symbole d'espoir et la promesse de grands changements. Elle combat de tout son être, sachant que son sacrifice fera vivre sa légende et qu'elle renaîtra dans un lendemain nouveau.;FlashFrost;Lance de glace;Anivia invoque une sphère de glace qui fonce vers ses adversaires, gelant et blessant tout le monde sur son passage. Quand la sphère explose, quiconque est à proximité est blessé et étourdi.;Crystallize;Cristallisation;En utilisant l'humidité de l'air, Anivia invoque un mur de glace impénétrable pour bloquer le passage. Le mur ne dure qu'un court moment avant de fondre.;Frostbite;Gelure;D'un mouvement d'ailes, Anivia lance une rafale de vent glacé vers sa cible, infligeant des dégâts. Si la cible a récemment été touchée par Lance de glace ou une Tempête glaciale à taille maximale, les dégâts sont doublés.;GlacialStorm;Tempête glaciale;Anivia invoque une pluie de glace et de grêle qui blesse ses ennemis et les ralentit.;Renaissance;Quand elle subit des dégâts mortels, Anivia se transforme en œuf et revient à la vie avec tous ses PV.
Annie;Enfant des ténèbres;Dangereuse, incroyablement précoce, Annie est une enfant mage dotée d'extraordinaires pouvoirs de pyrokinésie. Même à l'ombre des montagnes du nord de Noxus, sa magie est un cas unique. Son affinité naturelle avec le feu se manifesta dès sa prime enfance à travers des explosions émotionnelles imprévisibles, même si elle apprit rapidement à contrôler ces éclats. Parmi ses jeux favoris, elle aime invoquer son bien-aimé ours en peluche, Tibbers, sous la forme d'un protecteur enflammé. Perdue dans l'innocence perpétuelle de l'enfance, Annie sautille dans les forêts obscures, à la recherche de quelqu'un avec qui jouer.;AnnieQ;Désintégration;"Annie projette une boule d'énergie magique qui inflige des dégâts ; le coût en mana lui est rendu si l'attaque détruit la cible.";AnnieW;Incinération;Annie projette un cône de flammes, infligeant des dégâts à tous les ennemis dans la zone.;AnnieE;Bouclier en fusion;Octroie à Annie ou à un allié un bonus en vitesse de déplacement et un bouclier, lequel blesse les ennemis qui lui lancent des attaques ou des compétences.;AnnieR;Invocation : Tibbers;Annie insuffle la vie à son ours Tibbers et inflige des dégâts aux unités dans la zone d'effet. Tibbers peut attaquer et brûle les ennemis proches de lui.;Pyromanie;Après qu'Annie a utilisé 4 compétences, sa prochaine compétence offensive étourdit sa cible.<br><br>Annie commence la partie et réapparaît avec Pyromanie disponible.
Aphelios;Arme des Lunaris;"Émergeant des ombres au clair de lune, Aphelios abat ceux qui voudraient anéantir sa foi sans un mot ; ses armes et sa précision mortelle parlent pour lui. Un poison qui le rend muet coule dans ses veines, mais il est constamment guidé par sa sœur, Alune. Depuis son temple lointain, elle lui confère un arsenal d'armes en pierre de lune. Tant que la lune brillera dans le ciel, Aphelios ne sera jamais seul.";ApheliosQ_ClientTooltipWrapper;Compétences d'arme;Aphelios a 5 compétences actives différentes, chacune liée à son arme principale :<br><br>Calibrum (fusil) : tire une balle à longue portée qui marque la cible et permet une seconde attaque à très longue portée.<br>Severum (pistolet-faux) : court rapidement en attaquant les ennemis proches avec les deux armes.<br>Gravitum (canon) : immobilise tous les ennemis ralentis par cette arme.<br>Infernum (lance-flammes) : frappe les ennemis dans un cône et les attaque avec l'arme secondaire.<br>Crescendum (chakram) : déploie une vigie qui attaque avec l'arme secondaire.<br>;ApheliosW;Phase;Aphelios échange son arme principale avec son arme secondaire, ce qui remplace ses attaques de base ainsi que sa compétence active.;ApheliosE_ClientTooltipWrapper;Système de file d'armes;Aphelios n'a pas de troisième compétence. Cet emplacement lui indique la prochaine arme qu'Alune lui donnera. L'ordre des armes est toujours le même en début de partie, mais peut évoluer au fil de la partie. Lorsqu'une arme est à court de munitions, elle se place tout en bas de la rotation.;ApheliosR;Veille au clair de lune;Envoie un rayon de lune concentré qui explose au contact d'un champion ennemi. Applique l'effet unique de l'arme principale d'Aphelios.;Le Tueur et l'Oracle;Aphelios manie 5 armes de Lunari forgées par sa sœur Alune. Il peut en porter deux à la fois : une principale et une secondaire. Chaque arme possède une attaque de base et une compétence uniques. Les attaques et les compétences consomment les munitions de son arme. Lorsqu'il n'a plus de munitions, Aphelios jette son arme et Alune invoque la suivante (parmi les 5). 
