Name;Class;Role;Tier;Win %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;49.97%;4.43%;2.03%;1.97
Ahri;Mage;MID;A;49.93%;4.62%;1.04%;2.56
Akali;Assassin;TOP;A;48.57%;4.24%;12.88%;2.04
Akshan;Marksman;TOP;A;51.58%;2.71%;21.91%;1.97
Anivia;Mage;MID;A;51.97%;3.32%;3.03%;2.66
Annie;Mage;MID;A;52.45%;2.17%;0.71%;2.39
Bard;Support;SUPPORT;A;50.23%;4.05%;1.00%;2.97
Braum;Support;SUPPORT;A;50.73%;2.87%;0.39%;2.79
Cho'Gath;Tank;TOP;A;52.82%;2.59%;0.95%;2.2
Corki;Marksman;MID;A;49.38%;6.79%;3.91%;2.17
Diana;Fighter;MID;A;52.62%;2.17%;12.81%;2.2
Ekko;Assassin;JUNGLE;A;49.91%;6.16%;4.09%;2.74
Ekko;Assassin;MID;A;49.67%;3.26%;4.09%;2.24
Evelynn;Assassin;JUNGLE;A;49.64%;3.46%;8.85%;2.94
Fizz;Assassin;MID;A;50.83%;3.83%;4.53%;2.46
Galio;Tank;MID;A;50.38%;2.28%;0.54%;2.71
Gnar;Fighter;TOP;A;49.86%;3.05%;0.60%;2.01
Gwen;Fighter;TOP;A;49.82%;4.23%;2.43%;1.73
Irelia;Fighter;MID;A;48.24%;4.10%;23.51%;1.75
Janna;Support;SUPPORT;A;50.56%;4.60%;0.57%;3.0
Jarvan IV;Tank;JUNGLE;A;51.04%;4.22%;0.54%;3.37
Kassadin;Assassin;MID;A;51.42%;4.54%;14.43%;2.49
Kayle;Fighter;TOP;A;50.71%;3.11%;1.19%;1.8
Kled;Fighter;MID;A;55.14%;0.19%;0.83%;2.7
LeBlanc;Assassin;MID;A;48.85%;5.79%;11.95%;2.82
Lissandra;Mage;MID;A;50.65%;2.72%;0.66%;2.41
Lucian;Marksman;ADC;A;49.26%;8.84%;3.12%;2.25
Malzahar;Mage;MID;A;50.92%;3.43%;3.03%;2.22
Miss Fortune;Marksman;ADC;A;50.10%;8.87%;2.12%;2.3
Nidalee;Assassin;JUNGLE;A;48.98%;4.41%;2.64%;2.95
Nunu;Tank;JUNGLE;A;51.79%;4.35%;2.38%;3.04
Orianna;Mage;MID;A;49.56%;2.89%;0.18%;2.66
Ornn;Tank;TOP;A;50.83%;4.04%;0.43%;2.3
Qiyana;Assassin;MID;A;51.04%;4.73%;13.69%;2.14
Rakan;Support;SUPPORT;A;50.52%;5.55%;0.41%;2.94
Rammus;Tank;JUNGLE;A;51.71%;2.41%;3.14%;2.9
Rek'Sai;Fighter;JUNGLE;A;51.40%;3.69%;2.52%;2.51
Renekton;Fighter;TOP;A;48.17%;4.10%;2.05%;1.91
Sion;Tank;TOP;A;51.27%;3.70%;0.70%;1.63
Sona;Support;SUPPORT;A;52.85%;4.94%;1.00%;2.98
Sylas;Mage;MID;A;49.56%;6.95%;4.24%;2.14
Syndra;Mage;MID;A;49.35%;4.24%;1.16%;2.26
Trundle;Fighter;JUNGLE;A;52.85%;3.86%;2.60%;2.84
Twisted Fate;Mage;MID;A;48.96%;4.41%;1.32%;2.34
Twitch;Marksman;ADC;A;52.14%;6.69%;4.21%;2.42
Veigar;Mage;MID;A;48.94%;3.79%;1.26%;2.26
Vi;Fighter;JUNGLE;A;52.20%;5.89%;3.12%;2.45
Vladimir;Mage;MID;A;51.58%;4.37%;5.72%;2.45
Warwick;Fighter;JUNGLE;A;49.76%;5.84%;5.60%;2.25
Xerath;Mage;MID;A;51.01%;2.97%;5.53%;3.17
Xerath;Mage;SUPPORT;A;49.84%;4.76%;5.53%;2.54
Xin Zhao;Fighter;JUNGLE;A;50.23%;6.76%;4.18%;2.44
Zac;Tank;JUNGLE;A;51.43%;4.39%;2.11%;3.61
Zed;Assassin;JUNGLE;A;48.63%;3.34%;41.88%;2.47
Zilean;Support;MID;A;54.19%;0.56%;1.40%;3.46
Zilean;Support;SUPPORT;A;50.83%;3.38%;1.40%;3.03
Zoe;Mage;MID;A;49.84%;3.62%;1.41%;2.58
Zyra;Mage;SUPPORT;A;52.18%;3.85%;1.96%;2.13
