Name;Class;Role;Tier;Win %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;49.97%;4.43%;2.03%;1.97
Akshan;Marksman;TOP;A;51.58%;2.71%;21.91%;1.97
Renekton;Fighter;TOP;A;48.17%;4.10%;2.05%;1.91
Akali;Assassin;TOP;A;48.57%;4.24%;12.88%;2.04
Ornn;Tank;TOP;A;50.83%;4.04%;0.43%;2.3
Kayle;Fighter;TOP;A;50.71%;3.11%;1.19%;1.8
Gwen;Fighter;TOP;A;49.82%;4.23%;2.43%;1.73
Gnar;Fighter;TOP;A;49.86%;3.05%;0.60%;2.01
Cho'Gath;Tank;TOP;A;52.82%;2.59%;0.95%;2.2
Sion;Tank;TOP;A;51.27%;3.70%;0.70%;1.63
Vayne;Marksman;TOP;B;51.27%;1.86%;22.28%;1.53
Trundle;Fighter;TOP;B;52.78%;1.84%;2.60%;1.83
Yorick;Fighter;TOP;B;51.30%;2.74%;2.26%;1.65
Kled;Fighter;TOP;B;50.36%;1.69%;0.78%;2.32
Poppy;Tank;TOP;B;49.78%;1.98%;2.30%;2.14
Graves;Marksman;TOP;B;49.10%;2.75%;9.44%;1.72
Singed;Tank;TOP;B;50.95%;1.65%;0.42%;2.04
Yasuo;Fighter;TOP;B;47.77%;2.53%;24.41%;1.45
Wukong;Fighter;TOP;B;50.56%;2.22%;0.61%;2.12
Viktor;Mage;TOP;C;49.80%;1.65%;16.00%;1.88
Sylas;Mage;TOP;C;47.86%;1.98%;4.24%;1.86
Quinn;Marksman;TOP;C;51.71%;1.19%;0.51%;1.89
Kennen;Mage;TOP;C;48.62%;2.00%;0.70%;1.98
Vladimir;Mage;TOP;C;49.12%;1.37%;5.72%;2.03
Illaoi;Fighter;TOP;C;49.16%;2.07%;2.53%;1.49
Gragas;Fighter;TOP;C;48.75%;1.96%;0.32%;2.24
Warwick;Fighter;TOP;D;49.36%;1.20%;5.60%;1.94
Cassiopeia;Mage;TOP;D;49.47%;0.68%;1.36%;1.83
Lillia;;TOP;D;49.20%;0.40%;1.01%;1.96
Volibear;Fighter;TOP;D;46.11%;2.58%;1.48%;1.79
Heimerdinger;Mage;TOP;D;48.87%;0.80%;0.81%;1.65
Olaf;Fighter;TOP;D;45.46%;0.27%;0.92%;1.63
Rengar;Assassin;TOP;D;47.43%;0.91%;2.31%;1.77
Shyvana;Fighter;TOP;D;49.83%;0.21%;0.26%;1.88
Sejuani;Tank;TOP;D;50.50%;0.32%;0.34%;2.43
Ryze;Mage;TOP;D;45.91%;0.43%;0.20%;1.74
Rumble;Fighter;TOP;D;47.57%;1.01%;0.26%;2.02
Maokai;Tank;TOP;D;49.13%;0.32%;0.17%;2.1
Skarner;Fighter;TOP;D;48.90%;0.18%;0.16%;2.22
Pantheon;Fighter;TOP;D;49.68%;0.93%;0.89%;2.1
Tryndamere;Fighter;TOP;God;51.00%;5.76%;12.72%;1.89
Jax;Fighter;TOP;God;50.68%;6.84%;10.98%;1.63
Sett;Fighter;TOP;God;49.60%;8.23%;7.37%;1.76
Irelia;Fighter;TOP;God;49.10%;6.24%;23.51%;1.58
Darius;Fighter;TOP;God;50.37%;6.58%;15.17%;1.87
Tahm Kench;Support;TOP;God;51.28%;6.48%;16.24%;2.6
Shen;Tank;TOP;God;52.74%;6.34%;2.06%;2.98
Camille;Fighter;TOP;God;50.20%;7.17%;7.54%;1.99
Nasus;Fighter;TOP;S;51.83%;4.49%;4.36%;1.98
Jayce;Fighter;TOP;S;49.44%;6.54%;4.13%;1.78
Riven;Fighter;TOP;S;51.30%;4.88%;2.30%;1.99
Garen;Fighter;TOP;S;51.55%;5.74%;2.13%;2.1
Gangplank;Fighter;TOP;S;47.66%;5.92%;4.44%;1.99
Fiora;Fighter;TOP;S;50.05%;6.08%;10.76%;1.76
Dr. Mundo;Marksman;TOP;S;51.76%;4.06%;2.97%;2.26
Teemo;Marksman;TOP;S;49.11%;4.91%;9.60%;1.71
Urgot;Fighter;TOP;S;53.01%;4.10%;2.01%;2.0
Malphite;Tank;TOP;S;51.19%;4.68%;4.01%;2.41
Yone;Assassin;TOP;S;47.59%;5.42%;27.32%;1.58
Mordekaiser;Fighter;TOP;S;49.82%;5.31%;5.99%;1.79
